text,label,model
തിരുവനന്തപുരം: ഇന്ത്യൻ ക്രിക്കറ്റ് ടീമിന്റെ പുതിയ ക്യാപ്റ്റനായി ബിസിസിഐ റോഹിത് ശർമ്മയെ നിയമിച്ചു. അദ്ദേഹം വിരാട് കോഹ്ലിയുടെ സ്ഥാനത്തേക്കാണ് പദവി ഏറ്റെടുക്കുന്നത്. ടി20 ലോകകപ്പിലൂടെയാണ് അദ്ദേഹത്തിന് പുതിയ ചുമതല ആരംഭിക്കുന്നത്. ഈ തീരുമാനം സീനിയർ താരങ്ങളുമായി ചർച്ച ചെയ്തശേഷമാണ് ബോർഡ് എടുത്തത്.,1,deepseek
"ബെംഗളൂരു ആസ്ഥാനമായുള്ള ഒരു ഇ-കൊമേഴ്സ് സ്റ്റാർട്ടപ്പ് കമ്പനിക്ക് പ്രമുഖ വെഞ്ച്വർ ക്യാപിറ്റൽ ഫണ്ടുകളിൽ നിന്ന് 50 ദശലക്ഷം ഡോളറിന്റെ നിക്ഷേപം ലഭിച്ചു. ഈ നിക്ഷേപം കമ്പനിയുടെ വികസന പ്രവർത്തനങ്ങൾക്കും വിപണി വിപുലീകരണത്തിനും സഹായകമാകും. ഓൺലൈൻ വ്യാപാര രംഗത്തെ മത്സരത്തിൽ ഇത് പുതിയൊരു വഴിത്തിരിവായേക്കാം, ഒപ്പം കൂടുതൽ തൊഴിലവസരങ്ങൾ സൃഷ്ടിക്കാനും സാധ്യതയുണ്ട്.",2,gemini
ശാസ്ത്രജ്ഞർ പുതിയൊരു മരുന്ന് കണ്ടെത്തിയെന്ന് റിപ്പോർട്ടുണ്ട്.  ഈ മരുന്ന് കോവിഡ്-19 വൈറസിനെ വളരെ വേഗത്തിൽ കണ്ടെത്താനും ചികിത്സിക്കാനും സാധിക്കുമെന്നാണ് പ്രതീക്ഷ.,3,sarvam
"മലയാള സിനിമയുടെ പ്രിയപ്പെട്ട നടനായ ദുൽഖർ സൽമാൻ, തന്റെ അടുത്ത ചിത്രം 'കിങ്ങ് ഓഫ് കൊച്ചി'യുടെ ചിത്രീകരണം പൂർത്തിയാക്കി. ഈ ഉയർന്ന നിരീക്ഷണമുള്ള ചിത്രം ഈ വർഷം തീയേറ്ററുകളിൽ എത്തും എന്ന് സംവിധായകൻ അഭിനന്ദ് ശങ്കർ പ്രഖ്യാപിച്ചു. ദുൽഖറിനൊപ്പം റഷ്മിക മണ്ടന്നയും മുഖ്യകഥാപാത്രത്തിലാണ്.",0,deepseek
"സൈബർ ആക്രമണങ്ങൾ വർദ്ധിച്ചുവരുന്നതിനെ തുടർന്ന്, ഉപയോക്താക്കളുടെ ഡാറ്റ സംരക്ഷിക്കുന്നതിന് പുതിയ സുരക്ഷാ ಪರിഹാരങ്ങൾ വികസിപ്പിച്ചെടുക്കുന്നുണ്ട്.",3,sarvam
"ആഗോളതലത്തിൽ സൈബർ ആക്രമണങ്ങൾ വർദ്ധിക്കുന്നതായി സൈബർ സുരക്ഷാ വിദഗ്ധർ മുന്നറിയിപ്പ് നൽകി. ഫിഷിംഗ്, റാൻസംവെയർ ആക്രമണങ്ങളാണ് പ്രധാനമായും നടക്കുന്നത്. ഉപയോക്താക്കൾ പാസ്‌വേഡുകൾ ശക്തമാക്കുകയും ആധികാരികമല്ലാത്ത ലിങ്കുകളിൽ ക്ലിക്ക് ചെയ്യാതിരിക്കുകയും വേണം. സുരക്ഷാ സോഫ്റ്റ്‌വെയറുകൾ അപ്ഡേറ്റ് ചെയ്യുന്നത് ഇത്തരം ഭീഷണികളിൽ നിന്ന് സംരക്ഷണം നൽകാൻ സഹായിക്കും.",3,gemini
മലയാള സിനിമാ ലോകത്തെ പ്രശസ്ത നടി നിവേദ തോമസ് അടുത്തതായി പുറത്തിറങ്ങിയ ചിത്രം 'ഉത്സവം' വലിയ വിജയമായി മാറിയിരിക്കുന്നു. ഈ ചിത്രം കേരളത്തിലെ തിയേറ്ററുകളിൽ മൂന്നാഴ്ചയായി ഹൗസ്ഫുൾ ഷോ നടത്തുകയാണ്. സാമൂഹിക പശ്ചാത്തലമുള്ള ഈ ചിത്രത്തിന് വിമർശകരിൽ നിന്നും ഏകമുഖമായി പ്രശംസ ലഭിച്ചു. നിവേദ തോമസിന്റെ അഭിനയം പ്രത്യേകിച്ച് പ്രശംസിക്കപ്പെടുന്നു.,0,deepseek
ഇന്ത്യയിലെ ആദ്യത്തെ ഹ്യൂമനോയിഡ് റോബോട്ട് 'രാഷ്ട്രപതി ദ്രൗപദി മുർമു'യുടെ പേരിലാണ്. ഐഐടി കാഞ്ചിപുരം നിർമ്മിച്ച ഈ റോബോട്ടിന് മലയാളം ഉൾപ്പെടെ 11 ഇന്ത്യൻ ഭാഷകൾ സംസാരിക്കാനും മനുഷ്യരുമായി ഇടപെടാനും കഴിയും. ഇത് വിദ്യാഭ്യാസത്തിനും ആരോഗ്യപരിചരണത്തിനുമുള്ള സേവനങ്ങളിൽ ഉപയോഗിക്കാൻ ലക്ഷ്യമിടുന്നു.,3,deepseek
കേരളത്തിൽ പുതിയ സ്റ്റാർട്ട്-അപ്പ് ഇക്കോസിസ്റ്റം വികസിപ്പിക്കാൻ സർക്കാർ പുതിയ പദ്ധതികൾ അവതരിപ്പിച്ചു. വിവിധ മേഖലകളിൽ 1000 പുതിയ പ്രൊജക്ടുകൾക്ക് പിന്തുണ നൽകാൻ 100 കോടി രൂപയാണ് allotted. യുവ സംരംഭകരെ പ്രോത്സാഹിപ്പിക്കാൻ പ്രത്യേക പരിശീലന ക്യാമ്പുകളും സംഘടിപ്പിക്കുമെന്ന് അധികൃതർ അറിയിച്ചു.,2,openai
ഇന്ത്യയിലെ ആദ്യത്തെ സ്പേസ് ടൂറിസം മിഷനായ 'ഗഗന്യാൻ' വിജയകരമായി പൂർത്തിയായി. ഈ ചരിത്രപ്രധാനമായ യാത്രയിൽ നാലു സ്പേസ് ടൂറിസ്റ്റുകളെ ക്രൂ ഡ്രാഗൺ ക്യാപ്സ്യൂൾ ഭൂമിയിലേക്ക് സുരക്ഷിതമായി തിരികെ കൊണ്ടുവന്നു. ഭാവിയിൽ ബഹിരാകാശ യാത്രകൾ പൊതുജനങ്ങൾക്കായി ലഭ്യമാക്കുക എന്നതാണ് ഈ കമ്പനിയുടെ ലക്ഷ്യം.,3,deepseek
"IT മേഖലയിലെ പ്രാഥമിക കമ്പനികളായ ഇൻഫോസിസ്, ടാറ്റാ കൺസൾട്ടൻസി സേവനങ്ങൾ 2023-ൽ 15% വർദ്ധനവ് രേഖപ്പെടുത്തി. ഗ്ലോബൽ ഡിമാൻഡ് ഇതിന് കാരണമായി.",2,sarvam
"ഇന്ത്യൻ ഓഹരി വിപണി ഇന്ന് മികച്ച പ്രകടനം കാഴ്ചവെച്ചു. മുംബൈ ഓഹരി സൂചികയായ സെൻസെക്സ് ചരിത്രത്തിലെ ഏറ്റവും ഉയർന്ന നിലയിലെത്തി. നിഫ്റ്റിയും നേട്ടത്തിൽ വ്യാപാരം അവസാനിപ്പിച്ചു. ബാങ്കിംഗ്, ഫിനാൻഷ്യൽ ഓഹരികളാണ് മുന്നേറിയത്. നിക്ഷേപകരുടെ ആത്മവിശ്വാസം വർദ്ധിച്ചതാണ് വിപണിക്ക് ഗുണകരമായത്.",2,gemini
"ഇന്ത്യയിലെ ക്രിക്കറ്റ് താരം വിരാട് കോഹ്ലി, കഴിഞ്ഞ ദിവസം നടത്തിയ മത്സരത്തിൽ 150 റൺസുമായി തന്റെ കരിയറിലെ 75-ാമത്തെ സെഞ്ചുറി നേടി. ഈ വിജയത്തോടെ, കോഹ്ലിയുടെ ടീമിന് മത്സരം ജയിക്കാൻ സാധിച്ചുവെന്ന് പരിശീലകൻ അറിയിച്ചു. അടുത്ത മത്സരത്തിൽ കൂടുതൽ മികച്ച പ്രകടനം കാഴ്ചവയ്ക്കാൻ അദ്ദേഹം പ്രതിജ്ഞാബദ്ധമാണെന്ന് കോഹ്ലി പറഞ്ഞിട്ടുണ്ട്.",1,openai
പരാലിമ്പിക് വീൽചെയർ റേസർ ആയ ശ്രീദേവി രാഷ്ട്രീയ പുരസ്കാരം നേടി. ദേശീയതലത്തിൽ മികച്ച പ്രകടനത്തിനായാണ് പുരസ്കാരം നൽകിയത്.,1,sarvam
ഇന്ത്യൻ ക്രിക്കറ്റ് ടീം ടി20 ലോകകപ്പിൽ ചാമ്പ്യൻ ആയി. ഫൈനൽ മത്സരത്തിൽ ദക്ഷിണാഫ്രിക്കയെ 7 റൺസിന് തോൽപ്പിച്ചാണ് ടീം ഇന്ത്യ വിജയം നേടിയത്. വിർത്ത് കോളിയുടെ അതിജീവന ഇന്നിംഗ്സും ജസ്പ്രീത് ബുംറായുടെ അവസാന ഓവർ പ്രകാശനവും മത്സരത്തിന്റെ തിരിവുകളായിരുന്നു. ഇതോടെ ടീം ഇന്ത്യ 11 വർഷത്തിന് ശേഷം ഐസിസി ട്രോഫി നേടി.,1,deepseek
"പുതിയ മലയാളം സിനിമ 'കാവലാളി'യുടെ ട്രെയിലർ ഇന്ന് ഓൺലൈനിൽ റിലീസ് ചെയ്തു. നായകനായി പ്രശസ്തനായ അഭിമനുവിന് ഒപ്പമുള്ള ഈ സിനിമ, ഒരു ത്രില്ലർ ആകുമെന്ന് പ്രതീക്ഷിക്കുന്നു.",0,sarvam
ഇന്ത്യയിലെ ആദ്യത്തെ സാങ്കേതിക വിദ്യാർത്ഥി ഉപഗ്രഹമായ 'ജൂവൻ സാറ്റലൈറ്റ്' വിജയകരമായി വിക്ഷേപിച്ചു. ഇസ്രോയുടെ പിഎസ്എൽവി റോക്കറ്റ് ഇത് ഭൂമിയുടെ ഭ്രമണപഥത്തിലെത്തിച്ചു. രാജ്യത്തെ യുവ ശാസ്ത്രജ്ഞർക്ക് വലിയ പ്രചോദനമാണ് ഈ നേട്ടം. ഭാവിയിൽ കൂടുതൽ വിദ്യാർത്ഥി ഉപഗ്രഗങ്ങൾ നിർമ്മിക്കാനുള്ള വഴിതുറന്നു.,3,deepseek
പുനരുപയോഗ ഊർജ്ജ മേഖലയിൽ സൗരോർജ്ജ സാങ്കേതികവിദ്യ കൂടുതൽ കാര്യക്ഷമമാക്കാനുള്ള ഗവേഷണങ്ങൾ ഫലം കണ്ടു. സോളാർ പാനലുകളുടെ ഊർജ്ജ ഉത്പാദന ശേഷി ഗണ്യമായി വർദ്ധിപ്പിക്കുന്ന പുതിയ സാമഗ്രികളും രൂപകൽപ്പനയും ഗവേഷകർ വികസിപ്പിച്ചു. ഇത് സൗരോർജ്ജത്തിൻ്റെ ചിലവ് കുറയ്ക്കാനും കൂടുതൽ വ്യാപകമാക്കാനും സഹായിക്കും. കാലാവസ്ഥാ വ്യതിയാ,3,gemini
"കേരളത്തിലെ ഏറ്റവും വലിയ ഷോപ്പിംഗ് മാളായ ലുലു, തിരുവനന്തപുരത്ത് പുതിയ ഹൈടെക് ഡാറ്റാ സെന്റർ ആരംഭിച്ചു. ഇത് 10 മില്യൺ ഡോളർ മുതൽമുടക്കിലാണ് നിർമ്മിച്ചിരിക്കുന്നത്. ഈ സംരംഭത്തിലൂടെ 500 ത്തോളം പേർക്ക് തൊഴിൽ അവസരങ്ങൾ സൃഷ്ടിക്കുമെന്ന് കമ്പനി പ്രസ്താവനയിൽ പറഞ്ഞു. പ്രാദേശിക സാമ്പത്തിക വളർചയ്ക്ക് ഇത് ഗണ്യമായി സഹായിക്കുമെന്ന് പ്രതീക്ഷിക്കുന്നു.",2,deepseek
"ഹോളിവുഡ് സിനിമാ ഗ്രാമത്തിൽ, ക്യാമറാതീമുകൾക്കും സജീവങ്ങളായ അഭിനേതാക്കൾക്കും ഇടയിൽ ഏറ്റുമുട്ടലുകൾ കുറയ്ക്കാൻ പുതിയ നിയമം നടപ്പാക്കാൻ തീരുമാനിച്ചിട്ടുണ്ട്. ഇത് മൂലം ചിത്രീകരണ സമയത്ത് തടസ്സങ്ങൾ ഒഴിവാക്കാൻ സഹായിക്കുമെന്ന് പ്രതീക്ഷിക്കുന്നു.",0,sarvam
"കൊച്ചി ആസ്ഥാനമായുള്ള ഫിൻടെക് സ്റ്റാർട്ടപ്പ് കമ്പനിയായ ടെക്നോവിഷൻ, പ്രമുഖ വെഞ്ച്വർ ക്യാപിറ്റൽ ഫണ്ടുകളിൽ നിന്ന് 500 കോടി രൂപയുടെ നിക്ഷേപം സമാഹരിച്ചു. ഇത് കമ്പനിയുടെ വികസന പ്രവർത്തനങ്ങൾക്കും പുതിയ ഉൽപ്പന്നങ്ങൾ പുറത്തിറക്കുന്നതിനും സഹായകമാകും. അടുത്ത ഒരു വർഷത്തിനുള്ളിൽ ആയിരത്തിലധികം പുതിയ തൊഴിലവസരങ്ങൾ സൃഷ്ടിക്കാനും കമ്പനി ലക്ഷ്യമിടുന്നു. ആഗോള വിപണിയിലേക്ക് കടക്കാനുള്ള ഒരുക്കത്തിലാണ് ടെക്നോവിഷൻ.",2,gemini
തിരുവനന്തപുരം ആസ്ഥാനമായുള്ള ഫിൻടെക് സ്റ്റാർട്ടപ്പ് 'സമ്പത്ത്' 50 കോടി രൂപയുടെ സീരീസ് എ ഫണ്ടിംഗ് നേടി. പ്രമുഖ വെഞ്ച്വർ ക്യാപിറ്റൽ സ്ഥാപനമായ 'ഇൻഫിനിറ്റി ഫണ്ട്' ആണ് നിക്ഷേപം നടത്തിയത്. സാമ്പത്തിക സേവനങ്ങൾ ലളിതമാക്കുന്ന ആപ്ലിക്കേഷനാണ് സമ്പത്ത് വികസിപ്പിച്ചത്. ഈ നിക്ഷേപം ഉൽപ്പന്ന വികസനത്തിനും വിപണനം വ്യാപിപ്പിക്കുന്നതിനും സഹായിക്കും.,2,gemini
കോവിഡ് പ്രതിസന്ധിക്ക് ശേഷം കേരളത്തിലെ ടൂറിസം മേഖല വൻ ഉണർവിലാണ്. കഴിഞ്ഞ പാദത്തിൽ വിദേശ സഞ്ചാരികളുടെ എണ്ണത്തിൽ കാര്യമായ വർദ്ധനവ് രേഖപ്പെടുത്തി. സർക്കാർ പദ്ധതികളും സ്വകാര്യ സംരംഭകരുടെ പരിശ്രമങ്ങളും ഈ വളർച്ചയ്ക്ക് സഹായകമായി. പുതിയ ഹോംസ്റ്റേകളും റിസോർട്ടുകളും തുറന്നതും ടൂറിസം പാക്കേജുകൾ ആകർഷകമാക്കിയതും ഈ മേഖലയ്ക്ക് പുത്തനുണർവ് നൽകി.,2,gemini
"പ്രമുഖ മൊബൈൽ ഫോൺ നിർമ്മാതാക്കൾ പുതിയ സ്മാർട്ട്ഫോൺ മോഡലുകളുമായി വിപണിയിൽ സജീവമാകുന്നു. മെച്ചപ്പെട്ട ക്യാമറ, വേഗതയേറിയ പ്രോസസ്സർ, ദീർഘനേരം നിലനിൽക്കുന്ന ബാറ്ററി എന്നിവയാണ് പുതിയ മോഡലുകളുടെ പ്രധാന ആകർഷണങ്ങൾ. ഉപയോക്താക്കൾക്ക് മികച്ച അനുഭവം നൽകാൻ കമ്പനികൾ തമ്മിലുള്ള മത്സരം വർദ്ധിക്കുകയാണ്.",3,gemini
കേരളത്തിലെ പ്രശസ്ത സംഗീതോത്സവം ഇന്ന് ആരംഭിച്ചു. നിരവധി പ്രേക്ഷകർ ഇത് കാണാൻ എത്തിച്ചേർന്നു.,0,sarvam
