text,label,model
"കൊച്ചിയിലെ ആദ്യത്തെ ഐഎസ്ഒ സർട്ടിഫൈഡ് ഗ്രീൻ ഹൈഡ്രജൻ പ്ലാന്റിന് ഇന്ത്യൻ ഓയിൽ കോർപ്പറേഷന് (ഐഓസി) സർക്കാരിൽ നിന്ന് അനുമതി ലഭിച്ചു. 350 കോടി രൂപ മുതൽമുടക്കിലുള്ള ഈ പദ്ധതി കേരളത്തിലെ ശുദ്ധവായു ലക്ഷ്യങ്ങൾ നേടുന്നതിന് വലിയ തിരിവാകും. ഈ യൂണിറ്റ് വാർഷികമായി 5,000 മെട്രിക് ടൺ ഗ്രീൻ ഹൈഡ്രജൻ ഉത്പാദിപ്പിക്കുമെന്ന് കമ്പനി പ്രതീക്ഷിക്കുന്നു.",2,deepseek
പ്രശസ്ത സംഗീത രചയിതാവ് എ.ആർ. റഹ്മാനെ ആദരിക്കുന്ന ഒരു വിശേഷ കച്ചേരി തിരുവനന്തപുരത്ത് നടക്കുന്നു. 'മലയാളം സംഗീതത്തിന് നൽകിയ സംഭാവന' എന്ന തീം ആണ് ഈ ഇവന്റിന്. നിരവധി പ്രശസ്തരായ പാട്ടുകാർ റഹ്മാന്റെ അമരങ്ങളായ ഗാനങ്ങൾ പാടും.,0,deepseek
"കൊച്ചിയിലെ ജവഹർലാൽ നെഹ്രു സ്റ്റേഡിയത്തിൽ നടന്ന ഐപിഎൽ മത്സരത്തിൽ രാജസ്ഥാൻ റോയൽസ് ചെന്നൈ സൂപ്പർ കിംഗ്സിനെ 5 വിക്കറ്റിന് പരാജയപ്പെടുത്തി. രാജസ്ഥാൻ ടോസ് വിജയിച്ച് ഫീൽഡ് ചെയ്തു, ചെന്നൈയുടെ ഇന്നിംഗ്സ് 165 റൺസിൽ അവസാനിച്ചു. ജോസ് ബട്ലർ 58 റൺസുമായി മികച്ച പ്രകടനം നടത്തി, ടാർഗെറ്റ് 18.3 ഓവറുകളിൽ തന്നെ നേടി.",1,deepseek
തിരുവനന്തപുരം: ഐപിഎല്‍ 2024ലെ ട്രോഫി ഉയര്ത്തിയത് കൊല്ക്കത്താ നൈറ്റ് റൈഡേഴ്സ് ടീമാണ്. ചെന്നൈ സൂപ്പര്‍ കിങ്സിനെതിരെ നടന്ന തീര්മത്സ്യത്തില്‍ രണ്ട് ഓവറുകൾ മുമ്പായിരുന്നു ഷിക്ര് ധവാനും സഹകളിക്കാരനുമായി റൈഡേഴ്സ് വിജയം നേടിയത്. ഫൈനലില്‍ അര്ധനൂറ് റണ്ണുകള്‍ നേടിയ വിരാട് കോഹ്ലിയാണ് മാന്‍ ഓഫ് ദ മാച്ച്.,1,deepseek
മലയാള സിനിമാ ലോകത്തെ പ്രശസ്ത നടനായ മോഹൻലാൽ അടുത്തായി ഒരു പുതിയ ചിത്രത്തിലേക്ക് ഒപ്പിട്ടു. ഈ ചിത്രം രചിക്കുകയും രചനയും നിർവ്വഹിക്കുകയും ചെയ്യുന്നത് ദിവ്യം എന്ന ചിത്രത്തിന്റെ സംവിധായകൻ ജിതു ജോസഫ് ആണ്. ഈ മഹത്തായ സംയോജനം ചലച്ചിത്രരസികരിൽ വലിയ പ്രതീക്ഷ ജനിപ്പിക്കുന്നു. ചിത്രീകരണം അടുത്ത വർഷം ആരംഭിക്കും എന്ന് കരുതപ്പെടുന്നു.,0,deepseek
തിരുവനന്തപുരം: ഇന്ത്യൻ ക്രിക്കറ്റ് ടീമിന്റെ പുതിയ കപ്പ്താനായി ബിസിസിഐ ബുംറാവിനെ നിയമിച്ചു. മുൻ കപ്പ്താൻ കൊഹ്ലിയുടെ രാജിക്ക് ശേഷമാണ് ഈ നിയമനം. ഓസ്ട്രേലിയയ്ക്കെതിരായ അടുത്ത സീരീസിൽ നിന്നാണ് അദ്ദേഹം ചുമതല ഏറ്റെടുക്കുന്നത്. ബുംറാവിന്റെ നേതൃത്വത്തിൽ ടീം എങ്ങനെ പ്രകടനം നടത്തുമെന്നത് ശ്രദ്ധാപൂർവ്വം നിരീക്ഷിക്കപ്പെടും.,1,deepseek
മലയാള സിനിമാ ലോകത്തെ പ്രശസ്ത നടി നിവേദ തോമസ് അടുത്തതായി ഒരു പുതിയ ചിത്രത്തിൽ അരങ്ങേറുന്നു. ഈ ചിത്രം സംവിധാനം ചെയ്യുന്നത് യുവ സംവിധായകൻ അനീഷ് രവീന്ദ്രനാണ്. ഇത് ഒരു റൊമാന്റിക് കോമഡി ആയിരിക്കുമെന്നാണ് റിപ്പോർട്ടുകൾ. ചിത്രീകരണം അടുത്ത മാസം തുടങ്ങും എന്ന് പ്രൊഡക്ഷൻ ഹൗസ് വ്യക്തമാക്കിയിട്ടുണ്ട്.,0,deepseek
കൊച്ചിയിൽ നടന്ന ഐപിഎൽ മത്സരത്തിൽ ചെന്നൈ സൂപ്പർ കിംഗ്സ് രാജസ്ഥാൻ റോയൽസിനെ 5 വിക്കറ്റിന് പരാജയപ്പെടുത്തി. റുതുരാജ് ഗായ്ക്വാഡ് 101 റൺസ് നേടി മികച്ച പ്രകടനം നടത്തിയപ്പോൾ തന്നെ ബോളിംഗിൽ രവീന്ദ്ര ജadeja മൂന്ന് വിക്കറ്റ് എടുത്തു. ഈ വിജയത്തോടെ ചെന്നൈ ടൂർണമെന്റ് പോയിന്റ് പട്ടികയിൽ മുകളിലേക്ക് ഉയർന്നു.,1,deepseek
ഇന്ത്യയിലെ ആദ്യത്തെ സ്പേസ് ടൂറിസം മിഷനായ 'ഗഗന്യാൻ' പുരോഗതിയിലാണ്. ഇസ്രോയുടെ നേതൃത്വത്തിൽ നടക്കുന്ന ഈ പദ്ധതി 2025-നകം രണ്ട് ഇന്ത്യക്കാരെ ബഹിരാകാശത്തേക്ക് കൊണ്ടുപോകും. ഈ ചരിത്രപരമായ യാത്രയ്ക്കായി നാല് വ്യക്തികളുടെ അന്തിമ തിരഞ്ഞെടുപ്പ് പൂർത്തിയായി. ഇത് ഇന്ത്യൻ വിക്ഷേപണ ചരിത്രത്തിൽ ഒരു പുതിയ അധ്യായമായി മാറുകയാണ്.,3,deepseek
തിരുവനന്തപുരം: ഐപിഎല്ലിന്റെ 17-ാം സീസണിലെ ആദ്യ മത്സരം ചെന്നൈ സൂപ്പർ കിംഗ്സ് റോയൽ ചലഞ്ചേഴ്സ് ബാംഗ്ലൂരിനെതിരെ  എളുപ്പത്തിലാണ് നേടിയത്. റുതുരാജ് ഗായ്ക്വാഡിന്റെ അർദ്ധശതകവും രവീന്ദ്ര ജadeജയുടെ മൂന്ന് വിക്കറ്റുമാണ് വിജയത്തിന് കാരണമായത്. ചെന്നൈ ടീം മികച്ച ആരംഭം നേടിയതോടെ ടൂർണമെന്റിന് ശക്തമായ തുടക്കമായി.,1,deepseek
കൊച്ചിയിൽ നടന്ന ഐപിഎല്‍ മത്സരത്തിൽ രാജസ്ഥാൻ റോയൽസ് ചെന്നൈ സൂപ്പർ കിംഗ്സിനെ 5 വിക്കറ്റിന് പരാജയപ്പെടുത്തി. രാജസ്ഥാന്‍ ടീമിന് വേണ്ടി യശസ്വി ജയസ്വാൾ അര്ധശതകം നേടിയതോടൊപ്പം ട്രെന്റ് ബോൾട് മൂന്ന് വിക്കറ്റ് എടുത്തു. ഈ ജയത്തോടെ ടൂർണമെന്റ് പോയിന്റ് പട്ടികയിൽ രാജസ്ഥാൻ ടീം രണ്ടാം സ്ഥാനത്തേക്ക് ഉയർന്നു.,1,deepseek
"കൊച്ചിയിലെ ജവഹർലാൽ നെഹ്റു സ്റ്റേഡിയത്തിൽ നടന്ന ഐപിഎൽ മത്സരത്തിൽ ചെന്നൈ സൂപ്പർ കിംഗ്സ് മൂന്ന് വിക്കറ്റിന് വിജയം നേടി. ടോസ് വിജയിച്ച ചെന്നൈ ആദ്യം ബോളിംഗ് ഏറ്റുവാങ്ങി, ബാറ്റ്സ്മാൻ റൂട്ട് അർദ്ധശതകം നേടി മത്സരത്തിന് അടിത്തറ പാകി. രാജസ്ഥാൻ റോയൽസിനെതിരെയുള്ള ഈ വിജയത്തോടെ ചെന്നൈ പ്ലേഓഫ് hopes ശക്തിപ്പെടുത്തി.",1,deepseek
ഇന്ത്യയിലെ ആദ്യത്തെ ഹൈപ്പർസോണിക് മിസൈൽ പരീക്ഷണം ഡി.ആർ.ഡി.ഒ വിജയകരമായി നടത്തി. 'ശക്തി' എന്ന പേരിലുള്ള ഈ മിസൈൽ വളരെ ഉയർന്ന വേഗതയിൽ ലക്ഷ്യം തറപ്പിച്ചു. ഇത് രാജ്യത്തിന്റെ പ്രതിരോധ സാങ്കേതികവിദ്യയിലെ ഒരു പ്രധാന നാഴികക്കല്ലാണെന്ന് പ്രതിരോധ മന്ത്രി പറഞ്ഞു.,3,deepseek
ഇന്ത്യയിലെ ആദ്യത്തെ സാങ്കേതിക വിദ്യാർത്ഥി ഉപഗ്രഹമായ 'ജൂവൻ സാറ്റലൈറ്റ്' വിജയകരമായി വിക്ഷേപിച്ചു. ഇസ്രോയുടെ പിഎസ്എൽവി റോക്കറ്റ് ഇത് ഭൂമിയുടെ ഭ്രമണപഥത്തിലെത്തിച്ചു. രാജ്യത്തെ യുവ ശാസ്ത്രജ്ഞർക്ക് വലിയ പ്രചോദനമാണ് ഈ നേട്ടം. ഭാവിയിൽ കൂടുതൽ വിദ്യാർത്ഥി ഉപഗ്രഗങ്ങൾ നിർമ്മിക്കാനുള്ള വഴിതുറന്നു.,3,deepseek
കൊച്ചിയിലെ ആദ്യത്തെ ഐടി പാർക്ക് 'ഇൻ്ഫോപാർക്ക്' അടുത്ത മൂന്ന് വർഷത്തിനുള്ളിൽ 5000 ജോലി അവസരങ്ങൾ സൃഷ്ടിക്കുമെന്ന് കമ്പനി ഡയറക്ടർമാർ വ്യക്തമാക്കി. ഇതിനായി 200 കോടി രൂപ നിക്ഷേപിക്കാൻ കമ്പനി തീരുമാനിച്ചു. ഈ വികസനം സ്ഥലീയ സാമ്പത്തിക വളർചക്ക് ശക്തിയേകുമെന്ന് പ്രതീക്ഷിക്കുന്നു.,2,deepseek
"ഇന്ത്യയിലെ ഏറ്റവും വലിയ ബ്രോഡ്ബാൻഡ് നെറ്റ്‌വർക്കായ ഭാരത് നെറ്റ്, രാജ്യത്തെ എല്ലാ ഗ്രാമങ്ങളിലേക്കും എത്തിയതായി കേന്ദ്ര ആശയ വിനിമയ മന്ത്രി അശ്വിനി വൈഷ്ണവ് അറിയിച്ചു. ഈ മൈൽസ്റ്റോൺ ഇന്ത്യയുടെ ഡിജിറ്റൽ ഇൻഫ്രാസ്ട്രക്ചർ ശക്തിപ്പെടുത്തുന്നതിൽ ഒരു പ്രധാന ഘട്ടമാണ്. ഇത് വിദൂര പ്രദേശങ്ങളിലുള്ള ലക്ഷക്കണക്കിന് പൗരന്മാർക്ക് ഉയർന്ന വേഗതയുള്ള ഇന്റർനെറ്റ് സേവനം ലഭ്യമാക്കും.",3,deepseek
മലയാള സിനിമാ ലോകത്ത് വലിയ സംഭവം. സൂപ്പർസ്റ്റാർ മമ്മൂട്ടി ചിത്രീകരിച്ചുകൊണ്ടിരിക്കുന്ന 'വൃഷഭം' എന്ന ചിത്രത്തിന്റെ ചിത്രീകരണം പൂർത്തിയായി. ജീഷു ജോസഫ് ആണ് ഈ ചിത്രം സംവിധാനം ചെയ്യുന്നത്. ഈ വർഷം ഓണത്തിന് തിയേറ്ററുകളിൽ എത്തും എന്നാണ് പ്രൊഡക്ഷൻ ഹൗസ് പ്രഖ്യാപിച്ചിരിക്കുന്നത്.,0,deepseek
കേരളത്തിലെ സ്റ്റാർട്ടപ്പുകൾക്ക് ഒരു വലിയ തിരിവായി ബാംഗ്ലൂരു ആസ്ഥാനമായി പ്രവർത്തിക്കുന്ന വെഞ്ച്ചർ കാപിറ്റൽ ഫണ്ട് 'സൺറൈസ് വെഞ്ചേഴ്സ്' 100 കോടി രൂപ മൂലധനം നിക്ഷേപിക്കാൻ തീരുമാനിച്ചു. ടെക് സ്റ്റാർട്ടപ്പുകളിലാണ് ഈ നിക്ഷേപം കേന്ദ്രീകരിക്കുന്നത്. ഈ തീരുമാനം സംസ്ഥാനത്തെ നവോത്ഥാന പരിസ്ഥിതിക്ക് ശക്തി പകരുമെന്ന് വ്യവസായ വിദഗ്ധർ പ്രതീക്ഷിക്കുന്നു.,2,deepseek
ഇന്ത്യയിലെ ആദ്യത്തെ സ്വദേശീയ ആർട്ടിഫിഷ്യൽ ഇന്റലിജൻസ് (AI) ചിപ്പ് 'ഐഎൻഎഐ' വിജയകരമായി പരീക്ഷിച്ചു. ബാംഗ്ലൂരിലെ സെമിക്കണ്ടക്ടർ ലാബ് വികസിപ്പിച്ചെടുത്ത ഈ ചിപ്പിന് സെക്കൻഡിൽ 100 ട്രില്യൺ കണക്കുകൂട്ടലുകൾ നടത്താനുള്ള കഴിവുണ്ട്. ഇത് രാജ്യത്തിന്റെ സാങ്കേതിക സ്വാതന്ത്ര്യത്തിലേക്കുള്ള ഒരു പ്രധാന ചുവടുവെപ്പാണ്.,3,deepseek
കൊച്ചിയിൽ നടന്ന ഐപിഎൽ മത്സരത്തിൽ ചെന്നൈ സൂപ്പർ കിംഗ്സ് മുംബൈ ഇന്ത്യൻസിനെ 25 റൺസിന് പരാജയപ്പെടുത്തി. രുതുരാജ് ഗായ്ക്വാഡിന്റെ അർദ്ധശതകവും ഡിപ്പ് ചാഹറിന്റെ മൂന്ന് വിക്കറ്റുകളും മത്സരത്തിൽ നിർണായകമായിരുന്നു. ഈ വിജയത്തോടെ ചെന്നൈ ടൂർണമെന്റ് പോയിന്റ് പട്ടികയിൽ മൂന്നാം സ്ഥാനത്തേക്ക് ഉയർന്നു.,1,deepseek
"കൊച്ചിയിലെ ആദ്യത്തെ ഐടി പാർക്കിന് കേന്ദ്ര സർക്കാരിന്റെ അന്തിമ അനുമതി ലഭിച്ചു. 200 കോടി രൂപ മുതൽമുടക്കിലൂടെ നാല് ലക്ഷം ചതുരശ്ര അടി വിസ്തീർണത്തിൽ നിർമിക്കാനുള്ള ഈ പദ്ധതി 5,000 ത്തോളം തൊഴിലവസരങ്ങൾ സൃഷ്ടിക്കും. സംസ്ഥാനത്തെ സാങ്കേതിക മേഖലയ്ക്ക് ഒരു വലിയ ഊന്നൽ ആയിരിക്കും ഇത്.",2,deepseek
പ്രശസ്ത സംവിധായകൻ ലിജോ ജോസ് പെല്ലിശ്ശേരി തന്റെ അടുത്ത ചിത്രത്തിന് തുടക്കം കുറിക്കുന്നു. ഈ ചിത്രത്തിൽ പൃഥ്വിരാജ് സുകുമാരൻ മുഖ്യ വേഷത്തിൽ എത്തും എന്നാണ് വാർത്ത. ചിത്രീകരണം അടുത്ത മാസം തുടങ്ങും എന്നും സ്രോതസ്സുകൾ പറയുന്നു.,0,deepseek
പ്രശസ്ത സംവിധായിക ഗൗരി ശിന്ദെയുടെ പുതിയ ചിത്രം 'മിന്നൽ' ഈ വർഷാവസാനം റിലീസ് ചെയ്യും. മലയാളത്തിലെ പ്രമുഖ നടൻ ഫഹദ് ഫാസിലും തമിഴ് നടി നയൻതാരയും ആണ് ചിത്രത്തിലെ പ്രധാന കഥാപാത്രങ്ങളെ അവതരിപ്പിക്കുന്നത്. ഈ ചിത്രം ഒരു റൊമാന്റിക് ഡ്രാമയായിരിക്കുമെന്ന് ഉത്പാദന കമ്പനി പ്രഖ്യാപിച്ചു.,0,deepseek
ഇന്ത്യൻ ക്രിക്കറ്റ് ടീം ടി20 ലോകകപ്പിൽ ചാമ്പ്യൻ ആയി. ഫൈനൽ മത്സരത്തിൽ ദക്ഷിണാഫ്രിക്കയെ 7 റൺസിന് തോൽപ്പിച്ചാണ് ടീം ഇന്ത്യ വിജയം നേടിയത്. വിർത്ത് കോളിയുടെ അതിജീവന ഇന്നിംഗ്സും ജസ്പ്രീത് ബുംറായുടെ അവസാന ഓവർ പ്രകാശനവും മത്സരത്തിന്റെ തിരിവുകളായിരുന്നു. ഇതോടെ ടീം ഇന്ത്യ 11 വർഷത്തിന് ശേഷം ഐസിസി ട്രോഫി നേടി.,1,deepseek
ഇന്ത്യയിലെ ആദ്യത്തെ ഹ്യൂമനോയിഡ് റോബോട്ട് 'രാഷ്ട്രിയ'യെ ഐഐടി മദ്രാസ് വികസിപ്പിച്ചെടുത്തു. ഇന്ത്യൻ ഭാഷകളിൽ സംവാദിക്കാനും വിവിധ സേവന മേഖലകളിൽ പ്രവർത്തിക്കാനും ഇതിന് സാധിക്കും. ഇന്ത്യൻ സാങ്കേതികവിദ്യയുടെ ഒരു പ്രധാന നേട്ടമായി ഇതിനെ കണക്കാക്കുന്നു.,3,deepseek
കൊച്ചിയിലെ ജവഹർലാൽ നെഹ്റു സ്റ്റേഡിയത്തിൽ നടന്ന ഐപിഎൽ മത്സരത്തിൽ ചെന്നൈ സൂപ്പർ കിംഗ്സ് രാജസ്ഥൻ റോയൽസിനെ 35 റൺസിന് പരാജയപ്പെടുത്തി. രുതുരാജ് ഗായ്ക്വാഡ് മികച്ച പന്ത് വീശി മൂന്ന് വിക്കറ്റ് നേടി. ഈ വിജയത്തോടെ ചെന്നൈ ടൂർണമെന്റ് പോയിന്റ് പട്ടികയിൽ മുകളിലേക്ക് ഉയർന്നു.,1,deepseek
"കേരളത്തിലെ ഏറ്റവും വലിയ റീയൽ എസ്റ്റേറ്റ് ഡവലപ്പർമാരിലൊന്നായ അഭയ ഗ്രൂപ്പ്, കൊച്ചിയിൽ പുതിയ ഒരു ഹൈറൈസ് റെസിഡൻഷ്യൽ പ്രോജക്റ്റ് പ്രഖ്യാപിച്ചു. 200 കോടി രൂപ മുതൽമുടക്കിലുള്ള ഈ പദ്ധതി അടുത്ത വർഷം ആരംഭിക്കും എന്ന് കമ്പനി ഡയറക്ടർ അനിൽ കുമാർ പറഞ്ഞു. ഈ നിക്ഷേപം പ്രാദേശിക നിർമ്മാണ മേഖലയ്ക്ക് ഗണ്യമായ ഊന്നൽ നൽകുമെന്ന് പ്രതീക്ഷിക്കപ്പെടുന്നു.",2,deepseek
"തിരുവനന്തപുരം: ഇന്ത്യൻ ക്രിക്കറ്റ് ടീമിന്റെ പുതിയ കപ്താനായി ബി.സി.സി.ഐ റോഹിത് ശർമയെ നിയമിച്ചു. ടി20 ലോകകപ്പിന് ശേഷം വിരാട് കോഹ്ലി പദവി രാജിവെച്ചതോടെയാണ് ഈ തീരുമാനം. റോഹിതിനൊപ്പം ജസ്പ്രീത് ബുംറാഹിനെ ഉപകപ്താനായും പ്രഖ്യാപിച്ചു. ഇതേസമയം, ടെസ്റ്റ് ടീമിന് ജസ്പ്രീത് ബുംറാഹിനെ കപ്താനാക്കിയിരിക്കുന്നു.",1,deepseek
പ്രശസ്ത സംവിധായിക ഗൗരി ശിന്ദെയുടെ പുതിയ ചിത്രം 'ചിത്രകഥ' ഈ വർഷാവസാനം റിലീസ് ചെയ്യും. മലയാളത്തിലെ പ്രമുഖ നടൻ ഫഹദ് ഫാസിലും തമിഴ് നടി നയൻതാരയും ആണ് ചിത്രത്തിലെ പ്രധാന കഥാപാത്രങ്ങളെ അവതരിപ്പിക്കുന്നത്. സംഗീതം പ്രൊവിഡ് ചെയ്യുന്നത് എ ആർ റഹ്മാനാണ്. ഈ സംയോജനം ചലച്ചിത്രപ്രേമികളിൽ വലിയ പ്രതീക്ഷ ജനിപ്പിക്കുകയാണ്.,0,deepseek
കൊച്ചിയിലെ സ്റ്റാർട്ടപ്പ് 'ഗ്രീൻടെക് സൊലൂഷൻസ്' വികസിപ്പിച്ചെടുത്ത പുതിയ സോളാർ പാനൽ സാങ്കേതികവിദ്യയ്ക്ക് രണ്ട് കോടി രൂപ മൂലധനം ലഭിച്ചു. ബെംഗളൂരുവിലെ ഒരു വെഞ്ചർ കാപിറ്റൽ ഫണ്ടാണ് ഈ നിക്ഷേപം നൽകിയത്. ഈ ധനസഹായത്തോടെ കമ്പനി തന്റെ ഉൽപ്പന്നങ്ങളുടെ ഉൽപാദനം വർദ്ധിപ്പിക്കുകയും തെക്കിന്ത്യൻ മാർക്കറ്റിൽ വ്യാപകമായി വിപണനം നടത്തുകയും ചെയ്യും എന്ന് പ്രതീക്ഷിക്കുന്നു.,2,deepseek
