Category,Headline,Article,Final_Category
ARTICLES,‘ഗവർണർ ചരിത്രത്തിന്റെ ചുവരെഴുത്തുകൾ വായിക്കണം’,ഗവർണർ നടത്തുന്ന പ്രസ്‌താവനകളാകെ ഭരണഘടനയെയും ജനാധിപത്യ കീഴ്‌വഴക്കങ്ങളെയും സംബന്ധിച്ചുള്ള അദ്ദേഹത്തിന്റെ അത്യഗാധമായ അജ്ഞതയാണ്‌ പ്രകടമാക്കുന്നത്‌. സംസ്ഥാന നിയമസഭയ്‌ക്ക്‌ പൗരത്വ ഭേദഗതി നിയമം പിൻവലിക്കണമെന്നാവശ്യപ്പെട്ട്‌ പ്രമേയം പാസാക്കാൻ ഭരണഘടനാപരമായ അവകാശമുണ്ട്‌. നിയമസഭ വിളിച്ചുകൂട്ടി പ്രമേയം അംഗീകരിച്ചത്‌ അനാവശ്യച്ചെലവാണെന്ന ഗവർണറുടെ വിമർശനം വിലകുറഞ്ഞ രാഷ്ട്രീയ പ്രചാരണം മാത്രമാണ്‌. സിപിഐ എം പൊളിറ്റ്‌ബ്യൂറോ അംഗം എസ്‌ രാമചന്ദ്രൻപിള്ള ‘ദേശാഭിമാനി’യോട്‌ സംസാരിക്കുന്നു,business
PRAVASI,കെഫാക് സെവൻസ് ഫുട്ബാൾ ടൂർണമെന്റിൽ  മാക് കുവൈറ്റ് എഫ് സി ചാമ്പ്യന്മാരായി,"കുവൈറ്റ്‌സിറ്റി>  സാസ് സിഎഫ് സി കെഫാക്കുമായി സഹകരിച്ച് നടത്തിയ ഏകദിന സെവൻസ്  ടൂർണമെന്റിൽ മാക് കുവൈറ്റ് എഫ് സി ചാമ്പ്യന്മാരായി. കാൽപന്തുകളിയുടെ മുഴുവൻ ആവേശവും നിറഞ്ഞ ഫൈനൽ മത്സരത്തിൽ ചാമ്പ്യൻസ് എഫ് സിയെ എതിരില്ലാത്ത രണ്ടു ഗോളിന് പരാജയപ്പെടുത്തിയാണ്  മാക് കുവൈറ്റ് എഫ് സി കിരീടം നേടിയത്. മാകിന്  വേണ്ടി സുമിത്തും, മുഹമ്മദ്‌ സാലിഹും ഗോളുകൾ നേടി .



ഏകപക്ഷീയമായ രണ്ടു ഗോളുകൾക്ക് സിൽവർ സ്റ്റാർസ് എഫ് സി യെ പരാജയപ്പെടിത്തിയാണ് മാക് കുവൈറ്റ് ഫൈനലിൽ പ്രവേശിച്ചത് . വാശിയേറിയ  രണ്ടാം സെമി ഫൈനലിൽ ഗോൾ രഹിത സമനിലയിലായതിനെ തുടർന്ന് പെനാൽറ്റി ഷൂട്ടൗട്ടിലൂടെ ഫഹാഹീൽ ബ്രദേഴ്സിനെ പരാജയപ്പെടുത്തി ചാമ്പ്യൻസ് എഫ് സി ഫൈനലിൽ പ്രവേശിച്ചു.",sports
EDUCATION,ഐഐഎഫ്‌ടിയിൽ എംബിഎ കോഴ്‌സ്‌,"കോട്ടയം

രണ്ടു വർഷ എംബിഎ(ഇന്റർനാഷണൽ ബിസിനസ്‌) കോഴ്‌സിന്‌ നാഷണൽ ടെസ്‌റ്റിങ്‌ ഏജൻസി നടത്തുന്ന ഇൻഡ്യൻ ഇൻസ്‌റ്റിറ്റ്യൂട്ട്‌ ഓഫ്‌ ഫോറിൻ ട്രേഡ്‌ എൻട്രൻസ്‌ പരീക്ഷക്ക്‌ അപേക്ഷ ക്ഷണിച്ചു. 25 വരെ അപേക്ഷ  നൽകാം.  ഓൺലൈൻ പരീക്ഷ ഡിസംബർ ഒന്നിന്‌ നടത്തും. ആകെ 420 സീറ്റാണുള്ളത്‌. രാജ്യത്താകെ 89 നഗരങ്ങളിൽ പരീക്ഷാസെന്ററുണ്ട്‌. ഡിഗ്രിക്ക്‌ 50 ശതമാനം മാർക്കാണ്‌ യോഗ്യത.",business
PRAVASI,അയൺമാൻ മത്സരത്തിൽ മലയാളി തിളക്കവുമായി കോഴിക്കോട് സ്വദേശി ഡാനിഷ് അഹമ്മദ്,"റിയാദ് >  ബഹ്‌റൈനിൽ  വെച്ച് നടന്ന അയണ്മാന് മത്സരത്തിൽ വിജയിച്ച ഡാനിഷ് അഭിമാനമായി. മനാമയിൽ വെച്ച് നടന്ന സാഹസിക മത്സരത്തിൽ പങ്കെടുത്താണ് ഡാനിഷ് അയൺ മാൻ ഷിപ്പിന്  അർഹനായത്. 1.9  കിലോമീറ്റർ നീന്തൽ, 90 കിലോമീറ്റർ  സൈക്ലിംഗ് , 21 .1 കിലോമീറ്റർ ഓ ട്ടം തുടങ്ങിയ മത്സരത്തിൽ പങ്കെടുത്ത്  25 - 30 വയസ്സ് പുരുഷ വിഭാഗത്തിൽ 74  സ്ഥാനത്ത് ഡാനിഷ് എത്തിയത്.  പത്തനായിരത്തിൽ അധികം പേര് പങ്കെടുത്ത മത്സരത്തിൽ ജനറൽ വിഭാഗത്തിൽ  981 സ്ഥാനത്താണ്  എത്തിയത്.  റിയാദ് ഇന്റർനാഷണൽ ഇന്ത്യൻ സ്കൂളിൽ നിന്നും പ്രാഥമിക വിദ്യാഭ്യാസം ആരംഭിച്ച ഡാനിഷ് അഹമ്മദ് ഏഴാം ക്‌ളാസ് മുതൽ നാട്ടിലാണ് പഠിച്ചത്. 



 പഠന സമത്ത് തന്നെ സാഹസിക - കായിക രംഗത്ത് താല്പര്യമുള്ള ഡാനിഷ് യൂണിവേഴ്‌സിറ്റി തലത്തിൽ വരെ മത്സരങ്ങളിൽ പങ്കെടുത്തിട്ടുണ്ട്. ജെ.ആർ.ഡി കോയമ്പത്തൂരിൽ നിന്നും ബികോം ബിരുദവും എറണാംകുളം രാജഗിരിയിൽ നിന്നും എം ബി എം കരസ്ഥമാക്കിയ ഡാനിഷ് അൽ ഫൈസലിയ  ഗ്രൂപ്പിൽ ഫിനാൻസ് അനലിസ്റ്  ആയി ജോലിചെയ്യുന്നു. അടുത്ത വര്ഷം ദുബായിൽ വെച്ച് നടക്കുന്ന അയൺ മാൻ കമ്പ്ലീറ്റ് മൽസരത്തിന്റെ  തയാറെടുപ്പിലാണ് ഡാനിഷ്. കോഴിക്കോട് കല്ലായി   പള്ളിക്കണ്ടി  വീട്ടിൽ ബഷീറിന്റെയും  സൈനബയുടെയും മകനായ ഡാനിഷ് ഭാര്യയും ഏക മക്കളുമൊത്ത് റിയാദിൽ  പ്രവാസ ജീവിതം നയിക്കുകയാണ്.  2021 ൽ  ന്യൂസിലാന്റിൽ വെച്ച് നടക്കുന്ന അന്താ രാഷ്ട്ര മത്സരത്തിൽ പങ്കെടുക്കാനുള്ള ആഗ്രഹത്തിലാണ് ഡാനിഷ്.",sports
ART & STAGE,ചെറിയ കലാകാരന്മാര്‍ക്ക് ബിനാലെ നല്‍കുന്നത് വലിയ വേദി: സീതാറാം യെച്ചൂരി,"കൊച്ചി>  ഇന്ത്യയിലെ അത്ര അറിയപ്പെടാത്ത കലാകാരന്മാര്‍ക്ക് സ്വന്തം കഴിവു പ്രകടിപ്പിക്കാനുള്ള രാജ്യാന്തര വേദിയായി കൊച്ചി -മുസിരിസ് ബിനാലെ മാറുകയാണെന്ന് സിപിഐ എം ജനറല്‍ സെക്രട്ടറി സീതാറാം യെച്ചൂരി. ആസ്പിന്‍വാള്‍ ഹൗസിലെ ബിനാലെ വേദിയിലെത്തിയ യെച്ചൂരി ഇന്ത്യയിലെയും വിദേശ രാജ്യങ്ങളിലെയും കലാകാരന്മാര്‍ ഒരേ വേദിയില്‍ അണിനിരക്കുന്നതിനെ പ്രശംസിച്ചു. ബാപി ദാസിന്റെ എംബ്രോയിഡറിയോടുള്ള തന്റെ ഇഷ്ടം യെച്ചൂരി മറച്ചുവച്ചില്ല. വളര്‍ന്നുവരുന്ന ഇന്ത്യന്‍ കലാകാരന്മാരുടെ മികച്ച  സൃഷ്ടികള്‍ കാണാന്‍ കഴിഞ്ഞതില്‍ സന്തോഷമുണ്ട്, അദ്ദേഹം പറഞ്ഞു. 



ബിനാലെ എന്ന നൂതനാശയം 2010-ല്‍ മുന്നോട്ടുവയ്ക്കപ്പെട്ടതുമുതല്‍ തനിക്ക് അതുമായി ബന്ധമുണ്ടെന്ന് യെച്ചൂരി ഓര്‍മിച്ചു. അന്ന് സംസ്കാരിക മന്ത്രാലയത്തിന്റെ കൂടി മേല്‍നോട്ടമുള്ള പാര്‍ലമെന്ററി സ്റ്റാന്‍ഡിംഗ് കമ്മിറ്റി അംഗമായിരുന്നു താന്‍. വലിയൊരു പ്രോജക്ടായതുകൊണ്ട് കേന്ദ്രസര്‍ക്കാരും അന്ന് ബിനാലെ യുടെ ഭാഗമായിരുന്നു. എന്നാല്‍ കേരളത്തില്‍ ബിനാലെ സാധ്യമാകുമോ എന്നും അത് സുസ്ഥിരമാകുമോ എന്നും അന്ന് സംശയമുണ്ടായിരുന്നു. ആ സംശയങ്ങളെല്ലാം ഇന്ന് ദൂരീകരിക്കപ്പെട്ടിരിക്കുന്നുവെന്ന് അദ്ദേഹം പറഞ്ഞു. 



നാലാം ബിനാലെയില്‍ ദക്ഷിണാഫ്രിക്കന്‍ കലാകാരന്‍ വില്യം കെന്‍ട്രിഡ്ജിന്റെ സൃഷ്ടി പ്രത്യേക ശ്രദ്ധയര്‍ഹിക്കുന്നുവെന്ന് അദ്ദേഹം ചൂണ്ടിക്കാട്ടി. അദ്ദേഹത്തെക്കുറിച്ച് താന്‍ കേട്ടിട്ടുണ്ട്. ആദ്യമായാണ് അദ്ദേഹത്തിന്റെ സൃഷ്ടിക്കു സാക്ഷ്യം വഹിക്കാന്‍ കഴിഞ്ഞത്. ദക്ഷിണാഫ്രിക്കന്‍ സമൂഹത്തിന്റെ വിവിധ തലങ്ങളിലൂടെ കടന്നുപോകുന്ന ആ സൃഷ്ടി ഏറെ ഇഷ്ടപ്പെട്ടെന്ന് യെച്ചൂരി പറഞ്ഞു. 



ചരിത്രമുറങ്ങുന്ന ആസ്പിന്‍വാള്‍ ഹൗസ് ബിനാലെയുടെ സ്ഥിരം വേദിയാകുന്നതിന്റെ സാധ്യതയെക്കുറിച്ചുള്ള ചോദ്യത്തിന് യെച്ചൂരി പറഞ്ഞത്, വി എസ് അച്യുതാനന്ദന്‍ സര്‍ക്കാരിന്റെ കാലത്ത് ആസ്പിന്‍വാള്‍ ഹൗസ് ഏറ്റെടുക്കാന്‍ ശ്രമം നടന്നെങ്കിലും നിയമക്കുരുക്കുകള്‍ കാരണം കഴിഞ്ഞില്ല എന്നാണ്. വെയര്‍ഹൗസുകളിലാണ് ലോകത്തിലെ പ്രശസ്തമായ പല മ്യൂസിയങ്ങളും ജന്മമെടുത്തത്. അതുകൊണ്ടുതന്നെ ആസ്പിന്‍വാള്‍ ഹൗസ് ബിനാലെയ്ക്ക് ഏറ്റവും അനുയോജ്യമായ വേദിയാണെന്ന് അദ്ദേഹം പറഞ്ഞു. 



അന്യവല്‍കരിക്കപ്പെടാത്ത തരത്തിലുള്ള ആശയവുമായെത്തിയ നാലാം ബിനാലെ പ്രത്യേക പ്രശംസ അര്‍ഹിക്കുന്നുവെന്ന് പ്രമുഖ അഭിഭാഷകയും ദേശീയ മനുഷ്യാവകാശ കമ്മീഷന്‍ അംഗവുമായ ജ്യോതിക കല്‍റ പറഞ്ഞു. എല്ലാവരും ബിനാലെയുടെ ഭാഗമായിക്കഴിഞ്ഞിരിക്കുന്നുവെന്ന് അവര്‍ ചൂണ്ടിക്കാട്ടി.",entertainment
PRAVASI,ഒമാന്‍ ഇന്ത്യന്‍ സ്കൂൾ  പ്രവേശനം: ഓൺലൈൻ രജിസ്‌ട്രേഷൻ നാളെ തുടങ്ങും,മസ്‌ക്കറ്റ്‌> ഒമാനിലെ ഇന്ത്യൻ സ്‌കൂളുകളിൽ 2020–- 21 അധ്യായന വർഷത്തിൽ പ്രവേശനത്തിന്‌ ഒമാന്‍ ഇന്ത്യന്‍ സ്കൂള്‍ ഡയറക്ടര്‍ ബോര്‍ഡ് അപേക്ഷ ക്ഷണിച്ചു. കെ ജി ഒന്നു മുതല്‍ 11 വരെയുള്ള ക്ലാസുകളിലേക്ക്‌ ചൊവ്വാഴ്‌ച മുതല്‍ ഫെബ്രവരി 20 വരെയാണ് അപേക്ഷിക്കാനുള്ള സമയം.  രക്ഷിതാക്കള്‍ www.indianschoolsoman.com എന്ന വെബ്സൈറ്റാണ് അപേക്ഷ സമർപ്പിക്കാൻ സന്ദർശിക്കേണ്ടത്‌.,business
WORLD,80  അമേരിക്കന്‍ സൈനികരെ മിസൈലാക്രമണത്തില്‍ വധിച്ചതായി ഇറാന്‍,"ബാഗ്ദാദ്> ഇറാഖിലെ അമേരിക്കന്‍ സൈനിക കേന്ദ്രത്തിനുനേരെയുണ്ടായ മിസൈലാക്രമണത്തില്‍ 80 സൈനികര്‍ കൊല്ലപ്പെട്ടതായി ഇറാന്‍. ഇറാന്‍ മാധ്യമങ്ങളാണ് ഇക്കാര്യം പുറത്തുവിട്ടത്.  ഒരാള്‍ പോലും മിസൈലാക്രമണത്തില്‍ മരിച്ചിട്ടില്ലെന്ന് അമേരിക്ക വ്യക്തമാക്കുമ്പോഴാണ് 80 അമേരിക്കന്‍  ഭീകരരെ  കൊലപ്പെടുത്തിയതായി  ഇറാന്റെ അവകാശവാദം. 

 

ഇന്ന് പുലര്‍ച്ചെയാണ് ഇറാഖിലെ രണ്ട് സൈനിക  താവളങ്ങള്‍ക്കുനേരെ ഇറാന്‍ ആക്രമണം നടത്തിയത്. പതിമൂന്നോളം ബാലിസ്റ്റിക് മിസൈലുകളാണ് പ്രയോഗിച്ചതെന്ന് ഇറാന്‍ ടെലിവിഷന്‍ പറഞ്ഞു.



ആദ്യം അല്‍ അസദിലും പിന്നീട് ഇര്‍ബിനിലുമാണ് ആക്രമണമുണ്ടായത്.",sports
EDUCATION,"കൊച്ചിൻ യൂണിവേഴ്സിറ്റി യൂണിയൻ ""നോളജ്‌ ഫെസ്‌റ്റ്‌': സംഘാടക സമിതി രൂപീകരിച്ചു","കൊച്ചി>  കൊച്ചിൻ യൂണിവേഴ്സിറ്റി യൂണിയന്റെ ആഭിമുഖ്യത്തിൽ ജനുവരി രണ്ട്‌, മൂന്ന്‌ ,നാല്‌ തീയതികളിലായി കുസാറ്റ് ക്യാമ്പസിൽ ""നോളജ്‌ ഫെസ്‌റ്റ്‌' സംഘടിപ്പിക്കുന്നു. ഇതോടനുബന്ധിച്ച് വിവിധ ഡിപ്പാർട്മെന്റുകളിലായി സെമിനാറുകൾ, പേപ്പർ പ്രസന്റേഷനുകൾ, വർക്ഷോപ്പുകൾ, പൊതുചർച്ചകൾ, എക്സിബിഷനുകൾ, സംവാദങ്ങൾ തുടങ്ങിയവ സംഘടിപ്പിക്കും. വിദ്യാർഥികളുടെ അക്കാദമിക മേഖലയ്ക്ക് പുത്തനുണർവ്വ് നൽകുകയാണ് ഈ ഫെസ്റ്റിന്റെ ലക്ഷ്യം.  

         

 ചൊവ്വാഴ്ച ക്യാമ്പസിലെ ഹിന്ദി ഡിപ്പാർട്ട്മെന്റ് ഓഡിറ്റോറിയത്തിൽ വച്ച് സ്വാഗത സംഘം ചേരുകയും സംഘാടക സമിതി രൂപീകരിക്കുകയും ചെയ്തു. സമിതിയുടെ രക്ഷാധികാരിയായി കുസാറ്റ് വി സി ഡോ. കെ എൻ മധുസൂധനൻ, ചെയർമാനായി എം സ്വരാജ് എംഎൽഎ(സിൻഡിക്കേറ്റ് മെമ്പർ), വൈസ് ചെയർമാൻമാരായി ഹരിലാൽ, പ്രജുൽ കെ വി( സിൻഡിക്കേറ്റ് മെമ്പർ), ജനറൽ കൺവീനർ ആയി അമൽ സി എസ് എന്നിവരെ തെരഞ്ഞെടുത്തു.",entertainment
PRAVASI,സഫാമക്ക-ഇന്റർ കേളി സെവൻസ് ഫുട്ബോൾ: അൽഖർജ് ചാമ്പ്യൻമാർ,"റിയാദ് >  കേളി കലാസാംസ്കാരിക വേദിയുടെ പത്തൊൻപതാം വാർഷികത്തിന്റെ ഭാഗമായി  സഫാമക്ക ട്രോഫികൾക്ക് വേണ്ടിയുള്ള അഞ്ചാമത് ഇന്റർകേളി ഏകദിന ഫുട്ബോൾ ടൂർണമെന്റ്  സുലൈ ഷിഫ അൽ ജസീറ സ്‌റ്റേഡിയത്തിൽ നടന്നു. ടൂർണമെന്റിന് മുന്നോടിയായി വിവിധ ഏരിയകളിൽ നിന്നുമുള്ള ഒൻപത് ടീമുകളുടെ മാർച്ച് പാസ്റ്റില്‍ കേളി ആക്ടിങ് സെക്രട്ടറി സുധാകരൻ കല്യാശേരി സല്യൂട്ട്  സ്വീകരിച്ചു.



സ്‌പോട്‌സ് കമ്മിറ്റി ചെയർമാൻ സരസൻ ഉദ്ഘാടന ചടങ്ങില്‍ അധ്യക്ഷത വഹിച്ചു. കണ്‍വീനർ ഷറഫുദ്ദീൻ സ്വാഗതവും റിഫ (റിയാദ് ഇന്ത്യൻ ഫുട്ബോൾ അസ്സോസിയേഷൻ) സെക്രട്ടറി സൈഫുദ്ദീന്‍ ഉദ്‌ഘാടനവും നിര്‍വഹിച്ചു.",sports
ART & STAGE,സിനിമയിലെ രംഗങ്ങള്‍ കോര്‍ത്തിണക്കി അറബ് സിനിമാ സംസ്ക്കാരം വരച്ചുകാട്ടി റാണിയ സ്റ്റെഫാന്‍,"കൊച്ചി> നാല് പതിറ്റാണ്ട് ഈജിപ്ഷ്യന്‍ സിനിമയുടെ കേന്ദ്രബിന്ദുവായിരുന്ന സോവാദ് ഹോസ്നിയുടെ ജീവിതമാണ് ലെബനീസ് ആര്‍ട്ടിസ്റ്റായ റാണിയ സ്റ്റെഫാന്‍ കൊച്ചി- ബിനാലെയില്‍ ഒരുക്കിയിരിക്കുന്നത്. അതാകട്ടെ സോവാദ് ഹോസ്നി അഭിനയിച്ച സിനിമകളിലെ രംഗങ്ങള്‍ കോര്‍ത്തിണക്കിയും.



വളരെ വ്യത്യസ്തമായ വീഡിയോ പ്രതിഷ്ഠാപനമാണ് റാണിയ സ്റ്റെഫാന്‍ കൊച്ചി-മുസിരിസ് ബിനാലെയുടെ പ്രധാനവേദിയായ ആസ്പിന്‍വാള്‍ ഹൗസില്‍ ഒരുക്കിയിട്ടുള്ളത്. അഭിനയിച്ച കഥാപാത്രങ്ങളുടെ രംഗങ്ങള്‍ മുറിച്ച് മാറ്റി, അത് വീണ്ടും നടിയുടെ ജീവിതകഥയ്ക്കനുസരിച്ച് കോര്‍ത്തിണക്കിയിരിക്കുകയാണ് റാണിയ. പഴയ വിഎച്എസ് വീഡിയോ കാസറ്റുകളില്‍ നിന്നാണ് ഇതിനായുള്ള രംഗങ്ങള്‍ റാണിയ കണ്ടെത്തിയത്. 60 കാസറ്റുകളില്‍ നിന്നുള്ള ദൃശ്യങ്ങള്‍ ഇതിനായി വേണ്ടി വന്നു.",entertainment
EDUCATION,നിർമാണമേഖലയിലെ കോഴ്‌സുകളുമായി ഐഐഐസി,"ചവറ

തൊഴിൽ വകുപ്പിനുകീഴിൽ ചവറയിലുള്ള ഇന്ത്യൻ ഇൻസ്റ്റിറ്റ്യൂട്ട് ഓഫ് ഇൻഫ്രാസ്ട്രക്ചർ ആൻഡ് കൺസ്ട്രക്‌ഷനിലെ (ഐഐഐസി) വിവിധ കോഴ്‌സുകളിലേക്ക് 10വരെ അപേക്ഷിക്കാം. പത്താംക്ലാസ് പാസായവർ മുതൽ എൻജിനിയറിങ്‌ പൂർത്തിയാക്കിയവർക്കുവരെയുള്ള കോഴ്സുകളുണ്ട്‌. ഇലക്ട്രീഷ്യൻ, വെൽഡർ, റോഡ് മെഷിനറി ഓപറേറ്റർ, പ്ലംബർ മുതൽ ജിഐഎസ്‌ എൻജിനിയർവരെയുള്ള കോഴ്സുകളിൽ നൈപുണ്യം നേടുന്നവർക്ക് തൊഴിൽ ഉറപ്പുനൽകുന്നുണ്ട്‌.",business
SPORTS,അഞ്ചാം കിരീടത്തിന്‌ ഇന്ത്യ,"പോർട്ട്‌ എലിസബത്ത്‌

മുഹമ്മദ്‌ കെയ്‌ഫ്‌ (2000), വിരാട്‌ കോഹ്‌ലി (2008), ഉൻമുക്ത്‌ ചന്ദ്‌ (2012), പ്രിഥ്വി ഷാ (2018) എന്നിവരുടെ പിൻഗാമിയാകുകയാണ്‌ പ്രിയം ഗാർഗിന്റെ സ്വപ്‌നം. അണ്ടർ 19 ലോകകപ്പ്‌ ക്രിക്കറ്റിൽ ഇന്ത്യ ഇന്ന്‌ ശ്രീലങ്കയെ നേരിടും. ഇന്ത്യ നിലവിലെ ചാമ്പ്യൻമാരാണ്‌. പകൽ 1.30ന്‌ സ്‌റ്റാർ സ്‌പോർട്‌സിൽ തത്സമയം കാണാം.",sports
